axial strain [-],lateral strain [-],axial stress [MPa]
0.0000000000000000,0.0000000000000000,0.0000000000000000
0.0001452618772499,-0.0000391073639490,28.6925709004422984
0.0002905237544999,-0.0000951273481560,61.3143467947492979
0.0004357856317501,-0.0001431645334300,87.5091891315368997
0.0005810475090000,-0.0001831960569511,116.5990546231879961
0.0007263093862500,-0.0002121310684410,143.4597631110839870
0.0008715712634899,-0.0002727996413320,172.1891846382090137
0.0010168331407401,-0.0003033642910890,199.0984748458519960
0.0011620950179900,-0.0003706084463690,224.7998097832179951
0.0013032816373799,-0.0004413115630090,242.4813525707129997
0.0014882529725100,-0.0005854411279120,260.6032181494520046
0.0017343178712801,-0.0007453073159480,274.1861632075859916
0.0020361503634701,-0.0009381300874770,283.3977269329769797
0.0023736983249500,-0.0012089340333210,289.6345551160320042
0.0027721365494200,-0.0014973301166790,294.0308661972180175
0.0031882391997400,-0.0018134232646800,297.3740330627060189
0.0036210542941200,-0.0021149870744210,300.0569431763819921
0.0040531112358499,-0.0024432180848950,302.3145071394030197
0.0045025236345500,-0.0027020391794210,304.3599638590860081
0.0049571800795301,-0.0029961711855300,306.2668021199500004
0.0053974565978201,-0.0032693772945490,308.0253073686679954
0.0058389435787600,-0.0035613887223790,309.7158659925769939
0.0062753541266600,-0.0038295975544950,311.3224131427389807
0.0067093202281601,-0.0041038442309910,312.8933713555069858
0.0071470961651501,-0.0043762041619760,314.4413138705970141
0.0075732058425699,-0.0046485560038591,315.9011418217399978
0.0079957443554000,-0.0049021607917970,317.3824280578049866
0.0084176527451301,-0.0051666044662820,318.7906137894340191
0.0088312635795700,-0.0054333028057630,320.2313389289579959
0.0092512866452099,-0.0056844625007720,321.5956071220879835
0.0096593476620499,-0.0059437466697410,323.0076333955619816
0.0100704258193500,-0.0062045032312620,324.3067366733189942
0.0104671463089201,-0.0064571010863430,325.6573367428289885
0.0108783952820799,-0.0067012024781270,326.9134663253440181
0.0112642252428801,-0.0069576602493910,328.2217645025500019
0.0116697830982799,-0.0071986452168470,329.4586223992059786
0.0120610370328100,-0.0074556093614320,330.7079766721079750
0.0124489967750900,-0.0077060971779410,331.9169563577789859
0.0128664628844799,-0.0079401555253930,333.1405956713809928
0.0132686238684701,-0.0082065748048190,334.3124372774290123
0.0136696365633000,-0.0084377302990090,335.4926309457849811
0.0140666669403200,-0.0086907579819120,336.6787509903380169
0.0144749045278700,-0.0089527688499600,337.7834520895240189
0.0148678615978100,-0.0092060150505060,338.9397420345629826
0.0152723570662900,-0.0094591712442810,340.0439062002120068
0.0156886469778099,-0.0096981582604380,341.1694776788369836
0.0160955112209800,-0.0099588433591370,342.2555002980529935
0.0164923540986801,-0.0101912341696940,343.3198129548679844
0.0168975388949799,-0.0104531418712480,344.3886940016039944
0.0173089588145701,-0.0106966391656570,345.4125924246279737
0.0177112178598799,-0.0109464175917670,346.4578465774860092
0.0181157350138199,-0.0112023611128500,347.4908691615279963
0.0185178190279700,-0.0114449405273570,348.4717949408429831
0.0189227115425401,-0.0116879472906860,349.4376301101689819
0.0193178597132799,-0.0119424237187350,350.3818410332630151
0.0197250562622600,-0.0121938755274040,351.3796491052719944
0.0201168307461701,-0.0124301846211690,352.2825336965839824
0.0205309556203299,-0.0126781965650710,353.2597529650420256
0.0209336069820600,-0.0129207610668840,354.1652015365290254
0.0213255239183101,-0.0131918608786710,355.0883037319520099
0.0217359458118700,-0.0134274291462790,355.9944751493250124
0.0221332467956099,-0.0137054610930000,356.8725138647760105
0.0225418796082499,-0.0139152605972160,357.7370478886929845
0.0229402698503101,-0.0141586045427050,358.5662624153599722
0.0233517399451599,-0.0143909903435540,359.4335513764589791
0.0237537905791501,-0.0146703698289030,360.2444700336370147
0.0241597391260300,-0.0148885595430720,361.1022071625960166
0.0245645441305999,-0.0151556575444159,361.8872534254469997
0.0249708630216201,-0.0154003892626050,362.7383836502469876
0.0253794085651899,-0.0156358304988400,363.5128612964199988
0.0257909265177001,-0.0158982175440980,364.3205948017590003
0.0261968210478400,-0.0161455788661040,365.0909196220629838
0.0266060770872101,-0.0163970170210880,365.8761948826669936
0.0270150161177101,-0.0166362830966630,366.6348818802300116
0.0274161223020899,-0.0168971847707960,367.4043224689539784
0.0278432380747000,-0.0171295513706690,368.1389650475589974
0.0282459961398900,-0.0173866115967430,368.9044800603800240
0.0286591088924999,-0.0176216098842940,369.6292798667560078
0.0290729562741601,-0.0178583380602750,370.3402825916659822
0.0294760570333099,-0.0181183394865140,371.0540465063349984
0.0298886832176599,-0.0183615799904530,371.7653396031059856
0.0302990464270001,-0.0186301654961170,372.4573330197979999
0.0307071430568500,-0.0188694521363700,373.1444910506020278
0.0311210444289300,-0.0191099360736460,373.8269391008490174
0.0315331668288401,-0.0193587096801070,374.4633577307440078
0.0319495146680200,-0.0195770553784400,375.1610728964470240
0.0323606631248901,-0.0198414930032680,375.8047146996789820
0.0327598346092000,-0.0201038128792190,376.4498351484389786
0.0331795088859199,-0.0203415313068470,377.0872996370779902
0.0335906901428300,-0.0205885947816760,377.7072760368130275
0.0339979032590201,-0.0208379127809600,378.3463499618450214
0.0344048454170101,-0.0210986647133150,378.9955658129350127
0.0348173388038999,-0.0213332945003351,379.5857390697240135
0.0352417835065999,-0.0215676142003250,380.1938111337349824
0.0356403109570000,-0.0218049375774890,380.7936895795099872
0.0360435072315499,-0.0220580391295609,381.4063583684940113
0.0364683139058299,-0.0223052303882850,381.9744253680739803
0.0368755774644500,-0.0225500544377411,382.5774397982830237
0.0372834744023400,-0.0227871803438450,383.1277290190499798
0.0376929122546901,-0.0230262154488881,383.7273796464399993
0.0381208017096899,-0.0232824959825600,384.2599461104629768
0.0385251717959001,-0.0235181520295200,384.8121016317199974
0.0389459981522899,-0.0237632257243230,385.3756982920330074
0.0393523401768101,-0.0240081943951270,385.8875538296489935
0.0397735074284300,-0.0242597151260729,386.4676267679910211
0.0401804326249000,-0.0244929636540280,386.9586122530329817
0.0405960824664500,-0.0247399997634320,387.5202985469339865
0.0410155947432800,-0.0249847543319350,388.0266346040419876
0.0414249640700599,-0.0252334868747121,388.5755736398859881
0.0418464092787301,-0.0254847200071130,389.0411327328409925
0.0422569566622299,-0.0257242545965310,389.5536899432649989
0.0426682671238401,-0.0259595421391520,390.0377801276270020
0.0430753643107800,-0.0262164915172940,390.5236603746030255
0.0434956572886001,-0.0264574758922830,391.0293037115250172
0.0439097665952199,-0.0266961503527200,391.4937380647630221
0.0443206669180700,-0.0269483649357530,392.0092731992240260
0.0447444146685601,-0.0271917754978970,392.4414653375359876
0.0451591435875200,-0.0274317380722250,392.9386114686699898
0.0455841821759599,-0.0276595752644120,393.3729994284419718
0.0459991407031399,-0.0279054678311480,393.8521189170430148
0.0464181268628900,-0.0281608481039201,394.2697419322479959
0.0468389541779299,-0.0284018144371700,394.7161131226609996
0.0472514793393699,-0.0286394178868949,395.1339746991320112
0.0476753242409100,-0.0288874580762780,395.5450411144270220
0.0480896520013201,-0.0291153698071910,395.9985980484710240
0.0485165616524501,-0.0293729551235919,396.4361297941039766
0.0489258774958601,-0.0295983179307600,396.8753282007770053
0.0493447830732701,-0.0298472749007710,397.2996409230950121
0.0497682653263101,-0.0300959814706940,397.7069555392960183
